id,time,club,ball,combine_test_report_id,score,distance_from_pin
174fabce-030b-4ae5-93d8-18fda5c0e04c,2024-08-08T07:25:21.7003041+00:00,60Wedge,PremiumSoft,c9ba0e16-4971-4efe-8cd5-a5da7d3c5856,48.0,7.558668215421732
56e660d8-4cca-4fba-b1aa-180db0702b32,2024-08-08T07:25:34.5222407+00:00,60Wedge,PremiumSoft,c9ba0e16-4971-4efe-8cd5-a5da7d3c5856,100.0,0.7134460754327532
524c6dbe-3860-4568-a061-b5786f736da5,2024-08-08T07:25:47.8367087+00:00,60Wedge,PremiumSoft,c9ba0e16-4971-4efe-8cd5-a5da7d3c5856,69.0,4.691196079622498
7a024ba0-727d-479a-a272-98582af3370b,2024-08-08T07:37:03.4994707+00:00,60Wedge,PremiumSoft,c9ba0e16-4971-4efe-8cd5-a5da7d3c5856,89.0,2.0953909358935197
f17b5ac3-a5e4-4ed4-93d7-9dfb3b80e84c,2024-08-08T07:37:27.6749444+00:00,60Wedge,PremiumSoft,c9ba0e16-4971-4efe-8cd5-a5da7d3c5856,59.0,6.046362212071379
8eea22dd-df27-4ef2-89c5-31caffa407dc,2024-08-08T07:37:45.1944006+00:00,60Wedge,PremiumSoft,c9ba0e16-4971-4efe-8cd5-a5da7d3c5856,85.0,2.6292274961542743
5cfd2d4c-2e18-4e43-9f11-fa76eb3eb7bb,2024-08-08T07:25:57.881748+00:00,60Wedge,PremiumSoft,9d277f76-ea91-4c07-9511-01fbb78c9bc5,89.0,2.4722962121686396
9a58ea00-7223-4d93-b0be-098e4deeb447,2024-08-08T07:26:10.1534789+00:00,60Wedge,PremiumSoft,9d277f76-ea91-4c07-9511-01fbb78c9bc5,49.0,8.738314529436447
9f55d744-00a3-4e44-b017-f046236bb308,2024-08-08T07:26:24.4557216+00:00,60Wedge,PremiumSoft,9d277f76-ea91-4c07-9511-01fbb78c9bc5,94.0,1.7679326248591536
725ccbab-3787-4a04-917d-917c9e4442a3,2024-08-08T07:38:11.0500861+00:00,60Wedge,PremiumSoft,9d277f76-ea91-4c07-9511-01fbb78c9bc5,78.0,4.255636198728245
e74451ac-bc01-4916-99d5-d8dd9bd0fee2,2024-08-08T07:38:38.420032+00:00,60Wedge,PremiumSoft,9d277f76-ea91-4c07-9511-01fbb78c9bc5,75.0,4.606282455784899
ad2565b2-381d-4c11-b01b-1224033cbd04,2024-08-08T07:39:05.9630416+00:00,60Wedge,PremiumSoft,9d277f76-ea91-4c07-9511-01fbb78c9bc5,66.0,6.096505818902393
0dc2bd20-de78-48be-87a8-04d07e83f70f,2024-08-08T07:26:44.7379992+00:00,60Wedge,PremiumSoft,b22345f4-0598-4eb2-bcd4-8b8102fc29db,99.0,0.9956693983072253
377a4046-f34f-41e7-875a-11e36dccc49d,2024-08-08T07:27:01.7274322+00:00,60Wedge,PremiumSoft,b22345f4-0598-4eb2-bcd4-8b8102fc29db,86.0,3.3685066842988727
1a188852-66bf-4675-9bd3-4e7295d6bc91,2024-08-08T07:27:14.7423003+00:00,60Wedge,PremiumSoft,b22345f4-0598-4eb2-bcd4-8b8102fc29db,100.0,0.9523406964227376
8e303adf-fcec-43c3-ae73-4c8a4d464f33,2024-08-08T07:39:39.6541145+00:00,60Wedge,PremiumSoft,b22345f4-0598-4eb2-bcd4-8b8102fc29db,94.0,1.9581318013347517
05fe5a15-3859-4d7d-b5db-40196d118274,2024-08-08T07:40:01.8881211+00:00,60Wedge,PremiumSoft,b22345f4-0598-4eb2-bcd4-8b8102fc29db,95.0,1.8129831173603008
d1191360-41f5-4d72-a60b-9b12ab6e122f,2024-08-08T07:40:22.0291077+00:00,60Wedge,PremiumSoft,b22345f4-0598-4eb2-bcd4-8b8102fc29db,82.0,4.098525608766677
84a6456c-4023-4707-8bd6-2ab30506e991,2024-08-08T07:27:30.9465889+00:00,60Wedge,PremiumSoft,a7e29676-e266-4eb4-bbbc-6147be5891d1,68.0,7.586523583550302
5a3feddc-c4a5-4660-9e45-8b8c3ff19d9b,2024-08-08T07:27:51.0151221+00:00,60Wedge,PremiumSoft,a7e29676-e266-4eb4-bbbc-6147be5891d1,89.0,3.17570302788645
9535b682-139e-454d-944f-101965d3d608,2024-08-08T07:28:04.1468003+00:00,60Wedge,PremiumSoft,a7e29676-e266-4eb4-bbbc-6147be5891d1,62.0,8.799492325847988
3f210b6c-c305-43df-bec1-e6a5b57c4cd8,2024-08-08T07:40:43.3219487+00:00,60Wedge,PremiumSoft,a7e29676-e266-4eb4-bbbc-6147be5891d1,89.0,3.267143438763941
4f278b80-8801-41be-b624-3ad21c884a5c,2024-08-08T07:41:06.708024+00:00,60Wedge,PremiumSoft,a7e29676-e266-4eb4-bbbc-6147be5891d1,91.0,2.8761642425639438
2fe3806f-af8e-474f-8d47-8800755cb89b,2024-08-08T07:41:31.1366123+00:00,60Wedge,PremiumSoft,a7e29676-e266-4eb4-bbbc-6147be5891d1,89.0,3.183158462638354
96fc93c7-ef4c-486e-8580-15bd7dc12a0d,2024-08-08T07:28:28.0481907+00:00,60Wedge,PremiumSoft,343df6cc-38cb-4b59-8574-13bbda12ef0f,82.0,5.3076821535506244
54bd2e1d-adc8-4516-8616-a83ba12a8eaf,2024-08-08T07:28:46.3581865+00:00,60Wedge,PremiumSoft,343df6cc-38cb-4b59-8574-13bbda12ef0f,89.0,3.6091487336889596
7c007e98-86b0-4bd4-8327-8e36e58a46e2,2024-08-08T07:29:08.739029+00:00,60Wedge,PremiumSoft,343df6cc-38cb-4b59-8574-13bbda12ef0f,76.0,6.59262424770653
a045a232-0234-4b21-af6b-7795d82763a1,2024-08-08T07:42:15.8082194+00:00,60Wedge,PremiumSoft,343df6cc-38cb-4b59-8574-13bbda12ef0f,76.0,6.5583206993833265
803b34af-2bab-44a0-a56b-dcbac032ff9e,2024-08-08T07:42:37.3393079+00:00,60Wedge,PremiumSoft,343df6cc-38cb-4b59-8574-13bbda12ef0f,76.0,6.632091535048204
88464b37-9268-47b4-86ab-db7de01f3086,2024-08-08T07:42:59.2497128+00:00,60Wedge,PremiumSoft,343df6cc-38cb-4b59-8574-13bbda12ef0f,87.0,4.018807969690808
4ea2a701-f91e-42c9-8b87-9fbab3ff5a4d,2024-08-08T07:29:32.4571803+00:00,60Wedge,PremiumSoft,94b0cb8e-e3cb-4f66-bca7-db0f4c5469f2,94.0,2.674360869139447
85c9e954-1f6b-41e4-9415-0cc47de0259c,2024-08-08T07:29:57.0351954+00:00,60Wedge,PremiumSoft,94b0cb8e-e3cb-4f66-bca7-db0f4c5469f2,85.0,4.9664561701899
bcd0613b-0baf-4faf-94af-859e88137d78,2024-08-08T07:30:29.006515+00:00,60Wedge,PremiumSoft,94b0cb8e-e3cb-4f66-bca7-db0f4c5469f2,21.0,21.27688245602767
bb99b4db-133e-461b-9cff-fd923f44b2aa,2024-08-08T07:43:21.640928+00:00,60Wedge,PremiumSoft,94b0cb8e-e3cb-4f66-bca7-db0f4c5469f2,87.0,4.647977905054403
701c3d7b-df8f-4b6f-ab4a-4aa43f5aa697,2024-08-08T07:43:45.8734999+00:00,60Wedge,PremiumSoft,94b0cb8e-e3cb-4f66-bca7-db0f4c5469f2,93.0,2.961157314974631
d03a3277-4b3e-4de6-91ab-aa56536e1a9d,2024-08-08T07:44:09.5244143+00:00,60Wedge,PremiumSoft,94b0cb8e-e3cb-4f66-bca7-db0f4c5469f2,76.0,7.230750631434921
c3344a77-1f02-4843-b5d5-f413f244f344,2024-08-08T07:30:57.4110455+00:00,60Wedge,PremiumSoft,b45a54ca-7d6f-4682-9941-4b907ba4a4b7,77.0,8.33574139159542
88da3f37-d044-457d-8370-6d1332cd2821,2024-08-08T07:31:16.5677724+00:00,60Wedge,PremiumSoft,b45a54ca-7d6f-4682-9941-4b907ba4a4b7,73.0,9.606451116018524
b80d8525-e480-4238-bfae-afaf3259ea66,2024-08-08T07:31:39.589532+00:00,60Wedge,PremiumSoft,b45a54ca-7d6f-4682-9941-4b907ba4a4b7,95.0,3.0852341917610246
aa21cf90-16a7-4b36-ae85-6eb84e6a866a,2024-08-08T07:44:48.8464504+00:00,60Wedge,PremiumSoft,b45a54ca-7d6f-4682-9941-4b907ba4a4b7,75.0,9.13586632801459
fce429b7-c810-4d78-a99d-d6f8090b68f0,2024-08-08T07:45:15.1533905+00:00,60Wedge,PremiumSoft,b45a54ca-7d6f-4682-9941-4b907ba4a4b7,47.0,17.45083441651657
d4087610-92e8-4ee7-be23-c5a0eef3f4f2,2024-08-08T07:45:49.7869731+00:00,60Wedge,PremiumSoft,b45a54ca-7d6f-4682-9941-4b907ba4a4b7,65.0,11.94166914577433
f8e1993b-7c88-49b9-8bc9-f01ae46f9384,2024-08-08T07:32:14.0809041+00:00,60Wedge,PremiumSoft,c71ae1b3-7d8f-4732-9723-bcc4372318b2,69.0,12.701956585975065
2086afec-a08e-408d-9cfa-a0f098865550,2024-08-08T07:32:41.5352018+00:00,60Wedge,PremiumSoft,c71ae1b3-7d8f-4732-9723-bcc4372318b2,76.0,10.249128807953861
88002361-4cc2-4cbf-b8a0-b622007384a1,2024-08-08T07:33:07.8921509+00:00,60Wedge,PremiumSoft,c71ae1b3-7d8f-4732-9723-bcc4372318b2,94.0,3.6657525169061955
ffcc8727-ed0e-40eb-8105-5f2e191e30bc,2024-08-08T07:46:20.3116304+00:00,60Wedge,PremiumSoft,c71ae1b3-7d8f-4732-9723-bcc4372318b2,91.0,4.855196242801418
fc62eec7-0e95-407c-8db1-4fd3cf6bf239,2024-08-08T07:46:49.8198527+00:00,60Wedge,PremiumSoft,c71ae1b3-7d8f-4732-9723-bcc4372318b2,81.0,8.211789097402962
4ed5aa34-d82a-40ae-9c8a-c596a5096af7,2024-08-08T07:47:23.5929612+00:00,60Wedge,PremiumSoft,c71ae1b3-7d8f-4732-9723-bcc4372318b2,70.0,12.321223327017668
aed48eda-1925-4aac-bcb1-a373b06455d0,2024-08-08T07:33:45.8433693+00:00,60Wedge,PremiumSoft,2d653e51-a687-4b41-b7cb-b108835f8af2,63.0,16.813934586421098
970ecb92-03c4-409a-a650-d4f0ffb67bd9,2024-08-08T07:34:12.2030296+00:00,60Wedge,PremiumSoft,2d653e51-a687-4b41-b7cb-b108835f8af2,44.0,24.030930988379087
8a9dc393-de8b-43b5-befb-8e4a7431deb7,2024-08-08T07:34:39.2380939+00:00,60Wedge,PremiumSoft,2d653e51-a687-4b41-b7cb-b108835f8af2,52.0,21.083498688461678
7e0584bf-18d9-4ddb-8aa7-0e6121cb1afb,2024-08-08T07:48:04.2439043+00:00,60Wedge,PremiumSoft,2d653e51-a687-4b41-b7cb-b108835f8af2,74.0,12.247328901506467
249f63d8-504a-433b-9701-28ac34ed7705,2024-08-08T07:48:30.928928+00:00,60Wedge,PremiumSoft,2d653e51-a687-4b41-b7cb-b108835f8af2,63.0,16.60102456902738
3c82cd95-bb2e-455d-b686-57650cc84a1e,2024-08-08T07:48:53.3696009+00:00,60Wedge,PremiumSoft,2d653e51-a687-4b41-b7cb-b108835f8af2,78.0,10.884089850915862
d03b1477-8009-423e-aad3-56aa67b39bb4,2024-08-08T07:35:18.835351+00:00,Driver,PremiumSoft,a672091f-c61d-417d-bf6f-6e0a14534778,98.0,
8378cc57-7610-4824-83c3-5fb274abaa3a,2024-08-08T07:35:55.1226346+00:00,Driver,PremiumSoft,a672091f-c61d-417d-bf6f-6e0a14534778,73.0,
558681da-3d9d-4eca-bae2-01ff2391bba1,2024-08-08T07:36:20.6389037+00:00,Driver,PremiumSoft,a672091f-c61d-417d-bf6f-6e0a14534778,92.0,
d40faeef-ff1d-45f5-99b7-36451be46e9b,2024-08-08T07:49:27.7562575+00:00,Driver,PremiumSoft,a672091f-c61d-417d-bf6f-6e0a14534778,89.0,
a005aed4-dce4-45a2-bd9a-596337f82138,2024-08-08T07:49:55.2163872+00:00,Driver,PremiumSoft,a672091f-c61d-417d-bf6f-6e0a14534778,97.0,
7d0f9361-08ca-4c2a-a291-0463bd43cee2,2024-08-08T07:50:23.4516771+00:00,Driver,PremiumSoft,a672091f-c61d-417d-bf6f-6e0a14534778,95.0,
